index,cliente,latitud,longitud,fin_visita,order
15711,70,-34.5463741057607,-58.470094065957,2024-05-23 15:58:00,270
599,70,-34.5678026384594,-58.5016070617024,2024-05-23 15:58:00,271
13446,70,-34.5493482740662,-58.4744809380527,2024-05-23 15:58:00,272
308,70,-34.5455058043756,-58.4634955362605,2024-05-23 15:58:00,273
240,70,-34.5563904286228,-58.458921193515,2024-05-23 15:58:00,274
223,70,-34.5465781057631,-58.4838269747204,2024-05-23 15:58:00,275
26236,20,-34.552408214826,-58.4673630121306,2024-05-23 15:58:00,276
659,70,-34.5554944315527,-58.462407010198,2024-05-23 15:58:00,277
16738,70,-34.5578467358118,-58.4697177270286,2024-05-23 15:58:00,278
8038,70,-34.5612119921116,-58.4670147785164,2024-05-23 15:58:00,279
18008,70,-34.5546370298721,-58.4632669635409,2024-05-23 15:58:00,280
7677,70,-34.5557410978819,-58.469240536792,2024-05-23 15:58:00,281
20815,70,-34.5534296028022,-58.4917440654217,2024-05-23 15:58:00,282
19680,70,-34.5587551905205,-58.4624345907318,2024-05-23 15:58:00,283
21501,70,-34.5596913512154,-58.4643730532215,2024-05-23 15:58:00,284
11864,70,-34.5547031637866,-58.460881917613,2024-05-23 15:58:00,285
7885,70,-34.5702706340149,-58.5071332606721,2024-05-23 15:58:00,286
7841,70,-34.5704886735852,-58.5072299638177,2024-05-23 15:58:00,287
11877,70,-34.5549140959836,-58.461618784371,2024-05-23 15:58:00,288
24037,70,-34.5691265244963,-58.4891414626913,2024-05-23 16:13:00,289
23740,70,-34.6177873898923,-58.498216237962,2024-05-23 16:13:00,290
76,70,-34.6128812764119,-58.504935483393,2024-05-23 16:13:00,291
844,70,-34.6064563172014,-58.4910081300866,2024-05-23 16:13:00,292
8181,70,-34.6149331572093,-58.4919613074942,2024-05-23 16:13:00,293
15026,20,-34.6477857966542,-58.4161489212109,2024-05-23 16:16:00,294
4096,20,-34.6464727184664,-58.4116592201348,2024-05-23 16:16:00,295
