index,cliente,latitud,longitud,fin_visita,order
7765,70,-34.5779375,-58.5099372,2024-05-30 16:01:00,193
452,70,-34.592301343468,-58.50094278721,2024-05-30 16:01:00,194
7867,70,-34.5837537526966,-58.5100648380169,2024-05-30 16:01:00,195
7918,70,-34.59855946653,-58.5201541249371,2024-05-30 16:01:00,196
230,70,-34.592385764956,-58.5083376213171,2024-05-30 16:01:00,197
343,70,-34.5903664977566,-58.5047632643742,2024-05-30 16:01:00,198
356,70,-34.5897892552481,-58.5038283912208,2024-05-30 16:01:00,199
18780,70,-34.5866971341636,-58.502721479734,2024-05-30 16:01:00,200
23327,70,-34.5873312750326,-58.5013710901998,2024-05-30 16:01:00,201
525,70,-34.5934134491025,-58.5161699719925,2024-05-30 16:01:00,202
13478,70,-34.5985534689727,-58.5184421014982,2024-05-30 16:01:00,203
23316,70,-34.5889351603095,-58.5067389809443,2024-05-30 16:01:00,204
22741,70,-34.5860735605162,-58.5016948524835,2024-05-30 16:01:00,205
22568,70,-34.5875722635847,-58.511442284157,2024-05-30 16:01:00,206
15315,70,-34.5808931397258,-58.5001218700852,2024-05-30 16:01:00,207
17751,20,-34.453748,-58.557936,2024-05-30 16:01:21,208
21659,20,-34.6467232012559,-58.5215742768195,2024-05-30 16:03:49,209
21658,20,-34.6467232012559,-58.5215742768195,2024-05-30 16:03:49,210
22955,70,-34.5411913813297,-58.474141881145,2024-05-30 16:04:00,211
700,70,-34.5610685159278,-58.4894478544849,2024-05-30 16:04:00,212
24757,70,-34.5698116323286,-58.4833663854937,2024-05-30 16:04:00,213
24880,70,-34.5360584781985,-58.4672908814327,2024-05-30 16:04:00,214
210,70,-34.5685649754275,-58.4869699771732,2024-05-30 16:04:00,215
598,70,-34.5678026384594,-58.5016070617024,2024-05-30 16:04:00,216
21580,70,-34.5415547160101,-58.4736625533498,2024-05-30 16:04:00,217
22956,70,-34.5662787779112,-58.4796957048076,2024-05-30 16:04:00,218
24038,70,-34.5691265244963,-58.4891414626913,2024-05-30 16:04:00,219
874,70,-34.5568040387161,-58.4913557039629,2024-05-30 16:04:00,220
7685,70,-34.5563061944416,-58.4805982858738,2024-05-30 16:04:00,221
15707,70,-34.5463741057607,-58.470094065957,2024-05-30 16:04:00,222
13371,70,-34.5559429814302,-58.4956715564813,2024-05-30 16:04:00,223
18482,70,-34.5435756229205,-58.4668475457631,2024-05-30 16:04:00,224
924,70,-34.5589143289528,-58.4871147213944,2024-05-30 16:04:00,225
946,70,-34.5684327953576,-58.4878619043497,2024-05-30 16:04:00,226
11781,70,-34.5384546670548,-58.4653116460445,2024-05-30 16:04:00,227
8214,70,-34.5531017089039,-58.4755044937195,2024-05-30 16:04:00,228
7927,70,-34.5514600599495,-58.4740465833548,2024-05-30 16:04:00,229
21058,70,-34.6249814918895,-58.4937754226963,2024-05-30 16:05:00,230
12411,70,-34.6451968601231,-58.5116489067781,2024-05-30 16:05:00,231
564,70,-34.6492427405429,-58.5100606215252,2024-05-30 16:05:00,232
392,70,-34.6253175252994,-58.4933528537929,2024-05-30 16:05:00,233
5933,70,-34.6456604003906,-58.5162696838379,2024-05-30 16:05:00,234
1041,70,-34.6322874804543,-58.499201853998,2024-05-30 16:05:00,235
14462,70,-34.6254692635785,-58.5110761402696,2024-05-30 16:05:00,236
21302,70,-34.6467675251014,-58.5215190749471,2024-05-30 16:05:00,237
24958,70,-34.6454609013998,-58.5093550904128,2024-05-30 16:05:00,238
587,70,-34.6456335821045,-58.5026537122674,2024-05-30 16:05:00,239
400,70,-34.6233107802215,-58.4956246536958,2024-05-30 16:05:00,240
11847,70,-34.6447984667007,-58.5087100232243,2024-05-30 16:05:00,241
975,70,-34.6315706181451,-58.4966933132972,2024-05-30 16:05:00,242
11790,70,-34.6239542533404,-58.4927565594151,2024-05-30 16:05:00,243
19746,70,-34.6260167498822,-58.5137413974851,2024-05-30 16:05:00,244
